Customer Id,Order Id,Sales,order date (DateOrders)
20755,77202,327.75,1/31/2018 22:56
19492,75939,327.75,1/13/2018 12:27
19491,75938,327.75,1/13/2018 12:06
19490,75937,327.75,1/13/2018 11:45
19489,75936,327.75,1/13/2018 11:24
19488,75935,327.75,1/13/2018 11:03
19487,75934,327.75,1/13/2018 10:42
19486,75933,327.75,1/13/2018 10:21
19485,75932,327.75,1/13/2018 10:00
19484,75931,327.75,1/13/2018 9:39
19483,75930,327.75,1/13/2018 9:18
19482,75929,327.75,1/13/2018 8:57
19481,75928,327.75,1/13/2018 8:36
19480,75927,327.75,1/13/2018 8:15
19479,75926,327.75,1/13/2018 7:54
19478,75925,327.75,1/13/2018 7:33
19477,75924,327.75,1/13/2018 7:12
19476,75923,327.75,1/13/2018 6:51
19475,75922,327.75,1/13/2018 6:30
19474,75921,327.75,1/13/2018 6:09
19473,75920,327.75,1/13/2018 5:48
19472,75919,327.75,1/13/2018 5:27
19471,75918,327.75,1/13/2018 5:06
19470,75917,327.75,1/13/2018 4:45
19469,75916,327.75,1/13/2018 4:24
19468,75915,327.75,1/13/2018 4:03
19467,75914,327.75,1/13/2018 3:42
19466,75913,327.75,1/13/2018 3:21
19465,75912,327.75,1/13/2018 3:00
19464,75911,327.75,1/13/2018 2:39
19463,75910,327.75,1/13/2018 2:18
19462,75909,327.75,1/13/2018 1:57
19461,75908,327.75,1/13/2018 1:36
19460,75907,327.75,1/13/2018 1:15
19459,75906,327.75,1/13/2018 0:54
19458,75905,327.75,1/13/2018 0:33
19457,75904,327.75,1/13/2018 0:12
19456,75903,327.75,1/12/2018 23:51
19455,75902,327.75,1/12/2018 23:30
19454,75901,327.75,1/12/2018 23:09
19453,75900,327.75,1/12/2018 22:48
19452,75899,327.75,1/12/2018 22:27
19451,75898,327.75,1/12/2018 22:05
19450,75897,327.75,1/12/2018 21:44
19449,75896,327.75,1/12/2018 21:23
19448,75895,327.75,1/12/2018 21:02
19447,75894,327.75,1/12/2018 20:41
19446,75893,327.75,1/12/2018 20:20
9083,28744,119.9800034,2/24/2016 13:57
4741,45461,79.98000336,10/25/2016 14:39
639,31115,100.0,3/30/2016 4:37
9702,45766,79.98000336,10/30/2016 1:31
9114,47752,100.0,11/28/2016 1:18
1362,50054,100.0,12/31/2016 15:47
8011,20365,100.0,10/25/2015 6:24
3296,36146,89.98000336,6/11/2016 15:12
3182,41234,109.9400024,8/24/2016 21:45
7864,32090,119.9800034,4/13/2016 10:12
11169,34773,119.9800034,5/22/2016 14:10
5197,44046,299.9700012,10/4/2016 22:55
1535,46414,119.9700012,11/8/2016 12:32
6122,46599,65.97000122,11/11/2016 5:21
9451,48434,95.97000122,12/8/2016 0:14
542,12827,299.9700012,7/7/2015 5:31
11329,63936,299.9700012,7/22/2017 7:16
3570,65030,299.9700012,8/7/2017 6:33
650,18108,179.9700012,9/22/2015 7:41
9353,62571,179.9700012,7/2/2017 9:03
54,17162,179.9700012,9/8/2015 12:15
12151,65922,179.9700012,8/20/2017 7:03
11329,63936,150.0,7/22/2017 7:16
10018,64813,119.9700012,8/4/2017 2:31
3182,67892,150.0,9/18/2017 1:14
4936,12525,65.97000122,7/2/2015 19:42
8707,5895,299.9700012,3/28/2015 0:55
1025,56359,179.9700012,4/2/2017 16:43
8831,58613,179.9700012,5/5/2017 14:23
10679,7824,179.9700012,4/25/2015 4:44
5007,7814,179.9700012,4/25/2015 1:14
5007,7814,179.9700012,4/25/2015 1:14
9854,60807,179.9700012,6/6/2017 15:03
376,53413,179.9700012,2/18/2017 16:36
5417,7888,150.0,4/26/2015 3:10
10759,6783,119.9700012,4/10/2015 0:02
8541,56973,150.0,4/11/2017 15:49
10679,7824,150.0,4/25/2015 4:44
